K,N,Delta_0 (MHz),sigma/Delta_0,trial,Gate Fidelity
70,4,50,0.02,3,0.8065466495928088
30,6,100,0.1,2,0.5064128271161801
50,6,100,0.02,1,0.5644633511732643
50,4,50,0.1,1,0.5694768381228926
30,4,150,0.05,3,0.41285952232874856
30,4,50,0.05,3,0.4964264977757298
30,6,150,0.02,3,0.540363792833963
50,6,50,0.1,3,0.4717636840277917
70,4,100,0.05,4,0.6193207153308414
100,4,100,0.1,4,0.5976654469394854
50,6,100,0.02,4,0.5252766801203468
50,4,50,0.05,1,0.6957915762593261
30,4,100,0.1,2,0.650788676673564
100,2,150,0.05,4,0.8286272792326553
50,4,100,0.05,4,0.6353507461697616
70,6,150,0.05,4,0.45590732813607565
50,4,150,0.02,2,0.5540756385578998
70,6,50,0.05,2,0.601891400634988
100,2,100,0.05,3,0.8217038585792079
70,2,150,0.1,3,0.5815438892625241
50,4,150,0.02,3,0.6960616322448276
100,4,150,0.1,3,0.5827023948282398
30,6,100,0.1,1,0.5317603057806504
70,4,50,0.1,4,0.5784158711812498
100,6,50,0.02,3,0.800985335199349
50,6,100,0.05,4,0.4961536263476532
30,6,100,0.05,4,0.4203606514126756
50,4,100,0.02,1,0.590623753088257
100,2,100,0.05,2,0.866016775575022
50,2,150,0.02,2,0.8774154653461047
50,2,150,0.1,3,0.4808126601644927
70,4,100,0.1,2,0.5039684633419598
30,6,100,0.02,2,0.589891695220203
30,4,50,0.1,1,0.549041327098332
70,6,100,0.05,3,0.6989452739220133
100,6,150,0.02,4,0.7259287475360656
50,4,150,0.1,4,0.5448543334473734
100,6,100,0.05,4,0.5581362638252398
30,6,50,0.1,2,0.4854593452332326
70,4,150,0.05,2,0.6705300206031631
50,6,100,0.05,2,0.49826539865097264
30,6,50,0.05,2,0.49502571009481117
70,2,50,0.02,1,0.8513351091826292
50,6,150,0.05,2,0.5913724333284346
30,4,100,0.02,2,0.5641458838882272
30,4,100,0.05,3,0.5332723851054595
70,4,50,0.02,4,0.5984348274921779
50,4,100,0.05,1,0.708734158091177
30,4,50,0.1,2,0.5222960929417655
70,2,100,0.1,2,0.5466582831853732
30,2,50,0.1,3,0.6483140797891825
30,4,150,0.02,4,0.6155526008926174
30,2,100,0.1,4,0.6347425017876305
50,2,150,0.1,1,0.6254996828164353
100,4,100,0.05,1,0.6178831306404722
50,4,100,0.1,1,0.41773860157949194
100,6,150,0.1,3,0.4801968089244981
50,6,50,0.05,2,0.4982806799274218
100,2,100,0.02,3,0.9336728710852168
70,2,100,0.02,3,0.6236944596495553
70,6,50,0.02,1,0.5429024331858016
50,4,50,0.02,4,0.5372941346013151
100,2,50,0.1,3,0.7362342820613852
50,6,50,0.05,3,0.5474807934174715
30,4,100,0.02,1,0.5267058167674381
70,4,100,0.1,4,0.5149125784302029
100,4,50,0.02,4,0.863955887238421
70,4,150,0.02,2,0.6988439927000702
30,2,150,0.05,3,0.8028775372187451
100,6,100,0.05,3,0.6510332131883485
50,6,100,0.1,1,0.5481892559965144
100,6,50,0.02,1,0.7271299236616193
100,2,100,0.05,4,0.879281897831562
70,2,100,0.05,1,0.7825230680948302
100,4,150,0.02,2,0.5685000584532963
100,4,150,0.05,1,0.7500250272868125
70,4,50,0.02,2,0.5984779545603517
50,6,150,0.05,3,0.462500456012097
70,6,50,0.1,1,0.5056755519667814
70,6,100,0.02,1,0.569052964017284
70,2,150,0.1,2,0.8236568680226548
100,4,50,0.02,2,0.8237727132869638
50,4,100,0.02,2,0.446059581446103
100,2,50,0.05,4,0.9117126844914923
30,6,50,0.05,1,0.5277698722364895
100,6,100,0.02,1,0.5745796399833201
30,2,150,0.02,4,0.5803965672308035
70,6,50,0.05,4,0.6110183596204363
100,6,150,0.05,4,0.5609857162394749
30,2,100,0.02,3,0.6843885216184187
30,2,50,0.02,4,0.7238445615870964
70,6,100,0.1,4,0.5777434633660983
70,4,100,0.05,3,0.6991921799389598
70,6,50,0.1,2,0.43961850125567764
70,2,100,0.1,1,0.44908890412331254
30,2,150,0.02,1,0.6378674612159666
30,6,100,0.05,3,0.6148358056811213
50,4,100,0.02,4,0.40831969158586345
30,4,100,0.02,4,0.5077806440204717
30,2,50,0.02,2,0.855258195420311
70,2,100,0.02,4,0.871141660900721
30,6,150,0.02,1,0.5193186634547224
50,4,50,0.02,3,0.5791790955970275
50,2,150,0.05,1,0.869954956379783
50,4,150,0.05,4,0.600676524488114
70,6,150,0.1,1,0.4958365547806027
70,6,100,0.05,2,0.41057730052224634
30,4,150,0.02,2,0.5150123227748711
100,2,150,0.02,1,0.9106888808557281
30,2,100,0.02,1,0.6740437743332985
50,4,100,0.1,3,0.45811657554783713
50,4,150,0.1,1,0.6004169426666797
100,4,100,0.05,3,0.6940480833439022
100,4,150,0.02,1,0.6532244332250864
50,6,150,0.02,2,0.6242173459211994
50,2,100,0.02,1,0.8764693348142207
30,6,100,0.02,4,0.5132501467821141
100,4,100,0.02,1,0.6415658402267947
30,2,50,0.02,1,0.4689727346485536
100,4,50,0.1,1,0.5332058244076968
100,4,100,0.1,3,0.5284109566309991
50,6,50,0.05,1,0.5330458426441442
70,4,50,0.05,3,0.6327209083168702
30,2,50,0.1,4,0.3547043624309988
30,6,150,0.05,1,0.5212407907973163
100,6,150,0.02,3,0.6206466467112715
100,2,100,0.1,4,0.7711941088957874
